,x,y,headways_mean,unique_route_id
gen:23001:3201:1:51_zürcher_verkehrsverbund,8.419280338525361,47.3182916108525,2.3492307692307692,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:3460:1:50_zürcher_verkehrsverbund,8.37983531439418,47.4140293655664,4.7228571428571415,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:3460:1:51_zürcher_verkehrsverbund,8.379547853503231,47.4142907559401,4.731428571428572,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:3520:1:50_zürcher_verkehrsverbund,8.3720289545741,47.4179561633465,4.725714285714285,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:3520:1:51_zürcher_verkehrsverbund,8.37175945998883,47.41828439633821,4.728571428571429,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:3524:1:50_zürcher_verkehrsverbund,8.41832812432406,47.5664908072153,1.3638655462184874,61-510-P-j19-1_zürcher_verkehrsverbund
gen:23001:3524:1:50_zürcher_verkehrsverbund,8.41832812432406,47.5664908072153,0.0,61-515-P-j19-1_zürcher_verkehrsverbund
gen:23001:3558:1:51_zürcher_verkehrsverbund,8.38894423137643,47.3133585583315,2.356923076923077,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:3822:1:50_zürcher_verkehrsverbund,8.354664520129651,47.4327732358856,2.9406779661016946,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:3822:1:82_zürcher_verkehrsverbund,8.35443994130859,47.432597011378796,15.0,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:425:1:50_zürcher_verkehrsverbund,8.3925374925134,47.393071362829296,30.525,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:425:1:51_zürcher_verkehrsverbund,8.39271715557025,47.392511882110796,29.839999999999996,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:425:1:51_zürcher_verkehrsverbund,8.39271715557025,47.392511882110796,,7-315-P-j19-1_zürcher_verkehrsverbund
gen:23001:457:1:50_zürcher_verkehrsverbund,8.389438304782761,47.390985442551,30.439999999999998,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:457:1:51_zürcher_verkehrsverbund,8.38961796783961,47.391113154328394,29.880000000000003,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:457:1:51_zürcher_verkehrsverbund,8.38961796783961,47.391113154328394,,7-315-P-j19-1_zürcher_verkehrsverbund
gen:23001:466:1:50_zürcher_verkehrsverbund,8.38809083185639,47.3879567582815,30.439999999999998,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:466:1:51_zürcher_verkehrsverbund,8.3881986296905,47.3880054132196,29.919999999999998,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:466:1:51_zürcher_verkehrsverbund,8.3881986296905,47.3880054132196,,7-315-P-j19-1_zürcher_verkehrsverbund
gen:23001:6013:1:50_zürcher_verkehrsverbund,8.37993412907545,47.320550916939204,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6013:1:51_zürcher_verkehrsverbund,8.38037430356473,47.32070924743589,2.356923076923077,61-245-P-j19-1_zürcher_verkehrsverbund
