,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
5493,215123213,1481512788,"LINESTRING (8.5647977 47.3815619, 8.5650672 47.381443, 8.565269199999999 47.3813539, 8.5657622 47.3811662, 8.566094700000001 47.3810503, 8.566355 47.3809655, 8.566642999999999 47.3808553, 8.566986200000001 47.380701, 8.5670415 47.3806749, 8.567235 47.3805735, 8.567365300000001 47.3805029, 8.5674017 47.3804662, 8.567424900000001 47.3804267)",residential,,236.49,Susenbergstrasse,False,30
5494,34506015,283458340,"LINESTRING (8.5365132 47.3766029, 8.5366597 47.3765635)",residential,,11.869,Schweizergasse,False,
5495,34506015,4392778978,"LINESTRING (8.5365132 47.3766029, 8.5363413 47.3762942, 8.5362849 47.3762299, 8.536200300000001 47.3761758, 8.536123 47.3761461, 8.5360037 47.3761075, 8.5358722 47.37608, 8.5358397 47.3760768, 8.535815400000001 47.3760722, 8.5357881 47.376067, 8.5357693 47.3760606, 8.535738200000001 47.3760487)",tertiary,2,91.55600000000001,Gessnerallee,True,50
5496,27493675,130237698,"LINESTRING (8.5490256 47.3924088, 8.5491385 47.3924234, 8.5496687 47.3924951, 8.549854399999999 47.3925207, 8.5500539 47.3925469, 8.5501749 47.3925536, 8.550305099999999 47.3925511, 8.5504338 47.392527)",residential,,107.91199999999998,Letzistrasse,False,30
5497,27493675,411049234,"LINESTRING (8.5490256 47.3924088, 8.548952999999999 47.3924802, 8.5489093 47.3925216, 8.5480778 47.393069, 8.5479269 47.3931709, 8.5476917 47.3933626, 8.5475596 47.3934902, 8.547504200000001 47.3935409, 8.547372899999999 47.3936925, 8.547258100000001 47.3938459, 8.547199600000001 47.3939355, 8.546356100000001 47.3953131, 8.5463083 47.3953946, 8.5461837 47.3956049, 8.5461414 47.3956692, 8.546080699999999 47.395723, 8.546030699999999 47.3957638, 8.545953799999999 47.3958127, 8.545807699999999 47.3958759, 8.5456261 47.3959235, 8.545502900000001 47.3959574)",residential,2,487.928,Langensteinenstrasse,False,"['30', '50']"
5498,27493675,135612535,"LINESTRING (8.5490256 47.3924088, 8.548567500000001 47.3923363, 8.548170499999999 47.3922528, 8.5479305 47.392188, 8.5478237 47.3921563)",residential,,94.936,Letzistrasse,True,30
5499,27493684,109644598,"LINESTRING (8.536206999999999 47.3913471, 8.5364065 47.3913456, 8.5364582 47.3913452)",tertiary,3,18.911,Rotbuchstrasse,False,50
5500,27493684,109867289,"LINESTRING (8.536206999999999 47.3913471, 8.536014099999999 47.3913483, 8.5358331 47.3913487, 8.535796100000001 47.3913488, 8.535761900000001 47.3913491, 8.5357223 47.3913495, 8.5356258 47.3913504, 8.535441499999999 47.3913521, 8.5352847 47.3913591, 8.5350831 47.3913779, 8.5348332 47.3914298, 8.5346221 47.3915113, 8.534435500000001 47.3916042)",tertiary,"['3', '4']",140.183,Rotbuchstrasse,False,50
5501,27493684,109638807,"LINESTRING (8.536206999999999 47.3913471, 8.536251200000001 47.3912796, 8.5362647 47.3912044, 8.536269000000001 47.3909542, 8.536277500000001 47.390617, 8.5362796 47.3905334, 8.5362952 47.3901238, 8.5362974 47.3900663)",tertiary,"['3', '2']",143.20999999999998,Kornhausstrasse,False,50
5502,27493684,109867441,"LINESTRING (8.536206999999999 47.3913471, 8.536104999999999 47.3914278, 8.535208600000001 47.3921166, 8.5349296 47.3923552, 8.5346251 47.3926478, 8.5345215 47.3927444, 8.534312999999999 47.3929558, 8.534262699999999 47.3930069)",tertiary,2,235.89000000000001,Rötelstrasse,False,50
5503,27493686,5388344146,"LINESTRING (8.5377923 47.3935815, 8.5377019 47.3936151, 8.5376294 47.3936406, 8.537598300000001 47.3936709, 8.5375514 47.3937237, 8.5375184 47.3937676, 8.5374316 47.3938121)",tertiary,1,38.54,Hofwiesenstrasse,True,50
5504,27493686,4936603427,"LINESTRING (8.5377923 47.3935815, 8.537716400000001 47.3935659, 8.537598300000001 47.3935585, 8.537543299999999 47.393555)",residential,1,19.057000000000002,Rothstrasse,True,50
5505,109413689,93007134,"LINESTRING (8.548329499999999 47.4005478, 8.548226 47.4004676)",primary,2,11.841,Winterthurerstrasse,True,50
5506,27493695,102366925,"LINESTRING (8.541531300000001 47.389225, 8.5414405 47.3892955, 8.5405719 47.3899753, 8.540161299999999 47.3902964, 8.5400124 47.3903918, 8.539926899999999 47.3904425, 8.5397716 47.390537)",tertiary,3,197.28199999999998,Riedtlistrasse,False,50
5507,27493695,102389988,"LINESTRING (8.541531300000001 47.389225, 8.541660800000001 47.389149, 8.542341199999999 47.38875)",tertiary,2,80.667,Riedtlistrasse,False,50
5508,27493695,27493697,"LINESTRING (8.541531300000001 47.389225, 8.5416326 47.3893213, 8.5417883 47.3894694, 8.5418807 47.3895604, 8.542001900000001 47.3896662, 8.542115900000001 47.3897756, 8.542161 47.3898507)",residential,2,84.42800000000001,Langmauerstrasse,False,"['30', '50']"
