,population,income $/year,median gross rent,tractindex
"Census Tract 63.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006302",4576,25090.0,680.0,006302
"Census Tract 63.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006303",2761,21183.0,798.0,006303
"Census Tract 64, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006400",4948,25126.0,839.0,006400
"Census Tract 65.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006503",2799,,825.0,006503
"Census Tract 65.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006504",3598,,729.0,006504
"Census Tract 65.05, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006505",1873,21463.0,746.0,006505
"Census Tract 65.06, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006506",3595,,729.0,006506
"Census Tract 66.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006602",6094,27057.0,903.0,006602
"Census Tract 66.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006603",2975,15810.0,654.0,006603
"Census Tract 66.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006604",3987,27016.0,673.0,006604
"Census Tract 67.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006701",3725,,835.0,006701
"Census Tract 67.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006703",3201,,876.0,006703
"Census Tract 67.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006704",1552,,1330.0,006704
"Census Tract 68.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006803",1969,35506.0,787.0,006803
"Census Tract 68.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006804",1435,53421.0,-666666666.0,006804
"Census Tract 68.05, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006805",3385,,1338.0,006805
"Census Tract 68.06, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006806",2699,18443.0,783.0,006806
"Census Tract 69.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006903",2599,29495.0,778.0,006903
"Census Tract 69.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006904",3991,35514.0,1006.0,006904
"Census Tract 69.05, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006905",1848,30560.0,1018.0,006905
"Census Tract 69.06, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:006906",3072,,1134.0,006906
"Census Tract 70.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007001",4288,16152.0,757.0,007001
"Census Tract 70.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007002",3546,29202.0,711.0,007002
"Census Tract 70.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007003",2663,26997.0,1009.0,007003
"Census Tract 71.01, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007101",3159,24460.0,941.0,007101
"Census Tract 71.02, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007102",3901,29137.0,938.0,007102
"Census Tract 73.03, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007303",3018,35172.0,1339.0,007303
"Census Tract 73.04, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007304",1487,37832.0,-666666666.0,007304
"Census Tract 73.09, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007309",4479,36727.0,1225.0,007309
"Census Tract 73.10, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007310",2682,,858.0,007310
"Census Tract 73.11, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007311",3323,,759.0,007311
