,osmid,geometry
367529449,367529449,POINT (-87.8201938 41.9383359)
261098992,261098992,POINT (-87.6979565 41.7655616)
367529457,367529457,POINT (-87.8214183 41.9383118)
261098995,261098995,POINT (-87.6979181 41.7644615)
261099011,261099011,POINT (-87.6010165 41.7294094)
7206604292,7206604292,POINT (-87.5602646 41.7590794)
367529485,367529485,POINT (-87.8250836 41.9382396)
367529557,367529557,POINT (-87.83365379999999 41.9381286)
1062997606,1062997606,POINT (-87.6140894 41.8650397)
261099127,261099127,POINT (-87.6751462 41.8249185)
261099134,261099134,POINT (-87.675088 41.8231036)
351014538,351014538,POINT (-87.62538499999999 41.7684763)
3678146190,3678146190,POINT (-87.6512942 41.851293)
2053639824,2053639824,POINT (-87.73204079999999 41.9390323)
2053639829,2053639829,POINT (-87.7320623 41.9399392)
2053639831,2053639831,POINT (-87.732084 41.9408499)
261361303,261361303,POINT (-87.61777669999999 41.6530418)
261141761,261141761,POINT (-87.5866238 41.7241583)
261141764,261141764,POINT (-87.5870225 41.7441818)
1062997771,1062997771,POINT (-87.6139751 41.8603772)
2386562879,2386562879,POINT (-87.688225 41.7678093)
261099396,261099396,POINT (-87.71912089999999 41.8735246)
3193180047,3193180047,POINT (-87.7697548 41.8801168)
3193180048,3193180048,POINT (-87.7746547 41.8800336)
3193180049,3193180049,POINT (-87.77138480000001 41.8800902)
3193180051,3193180051,POINT (-87.7664973 41.8801703)
3193180052,3193180052,POINT (-87.7730212 41.8800635)
261099458,261099458,POINT (-87.6551422 41.6994989)
261099463,261099463,POINT (-87.7104329 41.8964335)
4426305526,4426305526,POINT (-87.643456 41.8488657)
5902700546,5902700546,POINT (-87.7093141 42.0054731)
5902700548,5902700548,POINT (-87.70933960000001 42.0050096)
261885955,261885955,POINT (-87.65086669999999 41.8817542)
602411022,602411022,POINT (-87.6582429 41.8336688)
602411024,602411024,POINT (-87.6581642 41.8334342)
261361684,261361684,POINT (-87.6555537 41.7754165)
602411026,602411026,POINT (-87.65812699999999 41.833353)
602411035,602411035,POINT (-87.65681309999999 41.8333115)
602411037,602411037,POINT (-87.65629149999999 41.8333292)
602411039,602411039,POINT (-87.6559014 41.8333802)
261153771,261153771,POINT (-87.5628203 41.7662853)
602411046,602411046,POINT (-87.6559041 41.8334626)
602411047,602411047,POINT (-87.65629939999999 41.8334855)
602411050,602411050,POINT (-87.6568139 41.8334892)
5690363960,5690363960,POINT (-87.7935592 41.9091694)
602411069,602411069,POINT (-87.6504389 41.8347763)
26218622,26218622,POINT (-87.6803401 41.8758318)
26218631,26218631,POINT (-87.7065951 41.8745331)
2291929233,2291929233,POINT (-87.63265939999999 41.890793)
2291929237,2291929237,POINT (-87.6324869 41.8916)
2291929239,2291929239,POINT (-87.6325111 41.8924228)
2291929241,2291929241,POINT (-87.6325344 41.8932119)
2291929243,2291929243,POINT (-87.63255820000001 41.8940177)
26218659,26218659,POINT (-87.77135319999999 41.8710995)
2291929252,2291929252,POINT (-87.6327507 41.900548)
2291929246,2291929246,POINT (-87.63260529999999 41.8956143)
2291929251,2291929251,POINT (-87.6327124 41.8992473)
2291929249,2291929249,POINT (-87.63267430000001 41.8979567)
2291929256,2291929256,POINT (-87.6328264 41.9031146)
2291929257,2291929257,POINT (-87.6328437 41.9038896)
2291929258,2291929258,POINT (-87.6329065 41.9057621)
2291929259,2291929259,POINT (-87.63297679999999 41.9077011)
2291929260,2291929260,POINT (-87.6330351 41.9091643)
2291929261,2291929261,POINT (-87.63307090000001 41.9111719)
2291929269,2291929269,POINT (-87.632856 41.9131693)
602411195,602411195,POINT (-87.64926749999999 41.834786)
1655443695,1655443695,POINT (-87.6440827 41.8672514)
1655443697,1655443697,POINT (-87.6440896 41.8671627)
261099778,261099778,POINT (-87.73470810000001 41.7686279)
261886237,261886237,POINT (-87.64849289999999 41.8804809)
261886238,261886238,POINT (-87.64965549999999 41.8804613)
261886239,261886239,POINT (-87.6508231 41.8804417)
261099810,261099810,POINT (-87.6155401 41.7766085)
263983398,263983398,POINT (-87.65409270000001 41.9108362)
261099853,261099853,POINT (-87.586628 41.7236844)
7246713173,7246713173,POINT (-87.7096047 41.6987385)
263983553,263983553,POINT (-87.6507751 41.9118119)
263983571,263983571,POINT (-87.65315459999999 41.9119042)
2607288790,2607288790,POINT (-87.6629781 41.8847417)
2607288792,2607288792,POINT (-87.6628127 41.8853744)
2607288793,2607288793,POINT (-87.6629117 41.8854079)
2607288794,2607288794,POINT (-87.66248640000001 41.8854156)
2607288795,2607288795,POINT (-87.6625866 41.8854373)
386404823,386404823,POINT (-87.6724931 41.8176484)
261100026,261100026,POINT (-87.58405980000001 41.7069062)
261350348,261350348,POINT (-87.6873174 41.7072488)
1594888735,1594888735,POINT (-87.687594 41.9233013)
263983704,263983704,POINT (-87.65321729999999 41.9137458)
257167960,257167960,POINT (-87.6500206 41.9654832)
263983706,263983706,POINT (-87.65342889999999 41.9137101)
257167962,257167962,POINT (-87.6499182 41.9618431)
257167965,257167965,POINT (-87.6498239 41.9584936)
257167982,257167982,POINT (-87.64939 41.9682637)
257167983,257167983,POINT (-87.65010909999999 41.9682513)
257167984,257167984,POINT (-87.654805 41.968195)
257168006,257168006,POINT (-87.65008039999999 41.9673552)
257168007,257168007,POINT (-87.6519922 41.9673359)
257168008,257168008,POINT (-87.6500511 41.9664383)
257168009,257168009,POINT (-87.6519816 41.966413)
257168017,257168017,POINT (-87.6529322 41.9664036)
257168018,257168018,POINT (-87.6547853 41.9663772)
257168089,257168089,POINT (-87.6529735 41.9673052)
257168090,257168090,POINT (-87.6547999 41.9672698)
257168091,257168091,POINT (-87.6575441 41.967239)
257168092,257168092,POINT (-87.65863880000001 41.9672225)
275730858,275730858,POINT (-87.6766385 41.8813232)
257168172,257168172,POINT (-87.6611293 41.9671798)
257168173,257168173,POINT (-87.661022 41.9653426)
261142000,261142000,POINT (-87.6960057 41.8701559)
345510762,345510762,POINT (-87.6589168 41.8595216)
261142002,261142002,POINT (-87.69598209999999 41.8692314)
261142004,261142004,POINT (-87.6959593 41.8683381)
261142006,261142006,POINT (-87.6959135 41.8665149)
261142008,261142008,POINT (-87.6958855 41.8656123)
261142009,261142009,POINT (-87.69579179999999 41.8625857)
4336128939,4336128939,POINT (-87.7221321 41.7538007)
4336128942,4336128942,POINT (-87.72224610000001 41.7550577)
4336128944,4336128944,POINT (-87.72227119999999 41.7556385)
4336128947,4336128947,POINT (-87.7222838 41.7571336)
369890229,369890229,POINT (-87.6219808 41.8909391)
4336128950,4336128950,POINT (-87.722268 41.7579234)
257168323,257168323,POINT (-87.65884509999999 41.9653802)
1122243566,1122243566,POINT (-87.80686059999999 41.9415478)
1122243592,1122243592,POINT (-87.8103692 41.9380007)
1122243652,1122243652,POINT (-87.80917789999999 41.9380023)
261142046,261142046,POINT (-87.6947717 41.8282724)
261142059,261142059,POINT (-87.6944823 41.8173666)
261142060,261142060,POINT (-87.6944261 41.8155536)
261142061,261142061,POINT (-87.69436880000001 41.8137437)
261142062,261142062,POINT (-87.6943107 41.8119221)
5631644892,5631644892,POINT (-87.72035510000001 41.69186)
261142083,261142083,POINT (-87.6934474 41.7809491)
257168646,257168646,POINT (-87.65957849999999 41.9617213)
261142085,261142085,POINT (-87.6933487 41.7772632)
250352912,250352912,POINT (-87.5946189 41.6991825)
257168663,257168663,POINT (-87.6609825 41.9635243)
257168664,257168664,POINT (-87.6663484 41.9634504)
7004230937,7004230937,POINT (-87.6581121 41.8334309)
257168666,257168666,POINT (-87.6724725 41.9633741)
257168667,257168667,POINT (-87.6745705 41.963343)
257168668,257168668,POINT (-87.6790178 41.9632792)
261142090,261142090,POINT (-87.6930627 41.7663734)
261100866,261100866,POINT (-87.7196711 41.8708013)
261142098,261142098,POINT (-87.69245479999999 41.7426647)
261142099,261142099,POINT (-87.6924326 41.7417773)
250352978,250352978,POINT (-87.5913836 41.6628597)
261142100,261142100,POINT (-87.6924154 41.741094)
250352987,250352987,POINT (-87.58738169999999 41.6582286)
261100897,261100897,POINT (-87.6379491 41.8997042)
2264929643,2264929643,POINT (-87.5747605 41.7152298)
250353008,250353008,POINT (-87.58 41.6493953)
250353017,250353017,POINT (-87.57858179999999 41.6449759)
261151937,261151937,POINT (-87.66683209999999 41.7867189)
261151938,261151938,POINT (-87.6667851 41.7849058)
257168816,257168816,POINT (-87.6624075 41.9653312)
257168818,257168818,POINT (-87.662508 41.9616832)
732435891,732435891,POINT (-87.7397316 41.8659664)
257168829,257168829,POINT (-87.6637321 41.9618912)
257168830,257168830,POINT (-87.66412339999999 41.9671341)
257168831,257168831,POINT (-87.6638461 41.965306)
257168832,257168832,POINT (-87.66375309999999 41.9634881)
261100993,261100993,POINT (-87.6055192 41.7636162)
261151939,261151939,POINT (-87.6666993 41.7812618)
261101004,261101004,POINT (-87.6031186 41.7658179)
5125969371,5125969371,POINT (-87.7011452 41.7006149)
263984614,263984614,POINT (-87.62553130000001 41.906798)
261101042,261101042,POINT (-87.5837135 41.8043875)
250353154,250353154,POINT (-87.6239453 41.717862)
263984671,263984671,POINT (-87.62582860000001 41.903998)
250353190,250353190,POINT (-87.6020493 41.7136146)
257168958,257168958,POINT (-87.6663547 41.9689189)
261101121,261101121,POINT (-87.59626830000001 41.7331191)
257168962,257168962,POINT (-87.6657838 41.9670932)
257168963,257168963,POINT (-87.66543249999999 41.9652822)
257168964,257168964,POINT (-87.66505960000001 41.9634732)
257168965,257168965,POINT (-87.66493149999999 41.9616517)
5311567441,5311567441,POINT (-87.71469430000001 41.9720734)
5311567445,5311567445,POINT (-87.7147721 41.9756798)
5311567461,5311567461,POINT (-87.71497050000001 41.9829985)
5311567462,5311567462,POINT (-87.71235 41.9757062)
5311567464,5311567464,POINT (-87.71493839999999 41.9829991)
250353254,250353254,POINT (-87.59630730000001 41.6956878)
369890932,369890932,POINT (-87.62039679999999 41.8895639)
369890954,369890954,POINT (-87.6187482 41.8894858)
250353292,250353292,POINT (-87.57968459999999 41.6491665)
261101234,261101234,POINT (-87.7039314 41.8903318)
263984850,263984850,POINT (-87.6374661 41.903798)
263984851,263984851,POINT (-87.6344392 41.9038595)
263984853,263984853,POINT (-87.6367923 41.9012859)
263984854,263984854,POINT (-87.6329765 41.9031125)
263984855,263984855,POINT (-87.63294019999999 41.9018261)
263984856,263984856,POINT (-87.64109569999999 41.904875)
263984857,263984857,POINT (-87.6420609 41.9055772)
261101274,261101274,POINT (-87.6280261 41.8589929)
261101275,261101275,POINT (-87.6280567 41.8601588)
261101295,261101295,POINT (-87.7352427 41.8742326)
263984906,263984906,POINT (-87.6455212 41.9080308)
257169183,257169183,POINT (-87.6595964 41.9629879)
261101358,261101358,POINT (-87.5863774 41.7760646)
1655445302,1655445302,POINT (-87.64508379999999 41.8659135)
257169207,257169207,POINT (-87.64996979999999 41.9636778)
1655445305,1655445305,POINT (-87.64507690000001 41.8668105)
257169218,257169218,POINT (-87.6499938 41.9645325)
257169219,257169219,POINT (-87.65475000000001 41.962692)
257169220,257169220,POINT (-87.6499436 41.9627474)
257169224,257169224,POINT (-87.6523935 41.9654567)
263984970,263984970,POINT (-87.6463148 41.9069185)
257169227,257169227,POINT (-87.6523754 41.9644901)
257169228,257169228,POINT (-87.6523638 41.9636332)
257169229,257169229,POINT (-87.6523531 41.9627228)
257169230,257169230,POINT (-87.6523399 41.9618002)
257169231,257169231,POINT (-87.6523093 41.9607092)
257169234,257169234,POINT (-87.6513274 41.9584784)
2518161239,2518161239,POINT (-87.66820389999999 41.9287761)
2518161241,2518161241,POINT (-87.66832719999999 41.932402)
2518161242,2518161242,POINT (-87.668361 41.9333107)
2518161243,2518161243,POINT (-87.6683949 41.9342242)
2518161246,2518161246,POINT (-87.66846289999999 41.9360568)
2518161247,2518161247,POINT (-87.6684966 41.9369633)
2518161248,2518161248,POINT (-87.6685303 41.9378705)
261101436,261101436,POINT (-87.6306591 41.8455431)
2518161281,2518161281,POINT (-87.6725003 41.9423048)
2518161282,2518161282,POINT (-87.67221910000001 41.9423077)
2518161284,2518161284,POINT (-87.6725026 41.9424583)
2518161285,2518161285,POINT (-87.6722259 41.9424621)
2518161286,2518161286,POINT (-87.67118309999999 41.9429016)
263985031,263985031,POINT (-87.6477929 41.9096657)
2518161289,2518161289,POINT (-87.6709745 41.9429975)
261101448,261101448,POINT (-87.63119210000001 41.8164265)
261101452,261101452,POINT (-87.63116479999999 41.8155226)
261101469,261101469,POINT (-87.59044230000001 41.6556974)
263985074,263985074,POINT (-87.6870122 41.9175936)
263985076,263985076,POINT (-87.6885925 41.9175714)
261101540,261101540,POINT (-87.6319816 41.7237301)
261101543,261101543,POINT (-87.6312028 41.7245267)
261101577,261101577,POINT (-87.6983644 41.9576069)
261101582,261101582,POINT (-87.69831000000001 41.9557916)
261101603,261101603,POINT (-87.7308802 41.9547779)
257431630,257431630,POINT (-87.6390846 41.8624648)
263985236,263985236,POINT (-87.6789912 41.9213702)
345512029,345512029,POINT (-87.6832656 41.8548252)
263985252,263985252,POINT (-87.6802362 41.9213498)
263985271,263985271,POINT (-87.6814242 41.9213302)
261245749,261245749,POINT (-87.5563688 41.7281905)
263985312,263985312,POINT (-87.677854 41.9238958)
263985314,263985314,POINT (-87.6753942 41.922992)
263985341,263985341,POINT (-87.6740745 41.9214616)
263985350,263985350,POINT (-87.67371369999999 41.922441)
263985369,263985369,POINT (-87.67626989999999 41.9241933)
263985386,263985386,POINT (-87.6855163 41.9342298)
263985422,263985422,POINT (-87.6932619 41.9540108)
263985424,263985424,POINT (-87.69404129999999 41.9585373)
263985425,263985425,POINT (-87.69431470000001 41.9603577)
263985428,263985428,POINT (-87.6917984 41.961298)
263985430,263985430,POINT (-87.69235689999999 41.9612946)
263985431,263985431,POINT (-87.6911206 41.9613022)
263985432,263985432,POINT (-87.6899032 41.9613106)
263985433,263985433,POINT (-87.6886499 41.9604087)
263985434,263985434,POINT (-87.6874579 41.9613393)
263985435,263985435,POINT (-87.686249 41.9613569)
263985445,263985445,POINT (-87.6850599 41.9613741)
263985482,263985482,POINT (-87.6887971 41.964875)
317987166,317987166,POINT (-87.6949908 42.0121821)
261101928,261101928,POINT (-87.6265349 41.7650462)
317987181,317987181,POINT (-87.70445719999999 42.011973)
261101937,261101937,POINT (-87.6248659 41.7637165)
26220949,26220949,POINT (-87.7414758 41.7913331)
26220951,26220951,POINT (-87.7432646 41.8076255)
261142317,261142317,POINT (-87.5838739 41.7296523)
261142319,261142319,POINT (-87.58040339999999 41.7296988)
26220970,26220970,POINT (-87.74185629999999 41.793086)
261142320,261142320,POINT (-87.57919029999999 41.729715)
1324358135,1324358135,POINT (-87.6763693 41.874048)
1324358140,1324358140,POINT (-87.676526 41.8740448)
1435769359,1435769359,POINT (-87.6973425 41.9661145)
1435769360,1435769360,POINT (-87.69752769999999 41.9662821)
261102104,261102104,POINT (-87.7125657 41.9416988)
718660151,718660151,POINT (-87.5967103 41.6599843)
257432114,257432114,POINT (-87.6385392 41.8527948)
257170003,257170003,POINT (-87.6744526 41.9797518)
257170004,257170004,POINT (-87.67216879999999 41.9797877)
257170005,257170005,POINT (-87.6697657 41.9798254)
257170006,257170006,POINT (-87.66829 41.9798486)
257170007,257170007,POINT (-87.6648407 41.9799028)
257170008,257170008,POINT (-87.661247 41.9799592)
257170009,257170009,POINT (-87.65997249999999 41.9799792)
257170010,257170010,POINT (-87.6565253 41.9800311)
257170011,257170011,POINT (-87.6550786 41.9800534)
261142354,261142354,POINT (-87.5985914 41.7294414)
261142355,261142355,POINT (-87.5973784 41.7294573)
261142356,261142356,POINT (-87.596166 41.7294733)
261142357,261142357,POINT (-87.5949561 41.7294892)
261142358,261142358,POINT (-87.593746 41.7295052)
261142359,261142359,POINT (-87.59287070000001 41.7295167)
261142360,261142360,POINT (-87.6219767 41.7290824)
261142361,261142361,POINT (-87.6224007 41.7290732)
261142362,261142362,POINT (-87.6231532 41.7290606)
261142364,261142364,POINT (-87.6233502 41.7290573)
3447462591,3447462591,POINT (-87.63517849999999 41.8763923)
261142378,261142378,POINT (-87.6191791 41.7291208)
261102319,261102319,POINT (-87.5665051 41.7658049)
414194445,414194445,POINT (-87.5858143 41.7516911)
414194448,414194448,POINT (-87.5858096 41.7514834)
257432394,257432394,POINT (-87.63188169999999 41.8577526)
257170271,257170271,POINT (-87.6551307 41.9818801)
257170273,257170273,POINT (-87.6565628 41.9818595)
257170276,257170276,POINT (-87.66001780000001 41.9818049)
257170291,257170291,POINT (-87.6624992 41.9817665)
257170292,257170292,POINT (-87.6648983 41.9817294)
257170293,257170293,POINT (-87.6684298 41.9816747)
414194549,414194549,POINT (-87.58564459999999 41.7514787)
257170295,257170295,POINT (-87.6722211 41.981616)
257170296,257170296,POINT (-87.6745564 41.9815799)
414194551,414194551,POINT (-87.5856478 41.7515748)
261102570,261102570,POINT (-87.603859 41.7622396)
261102572,261102572,POINT (-87.602977 41.760435)
261102595,261102595,POINT (-87.6976624 41.933953)
261102627,261102627,POINT (-87.7198523 41.7611657)
257170497,257170497,POINT (-87.6698712 41.9834811)
257170498,257170498,POINT (-87.66877030000001 41.9834928)
257170499,257170499,POINT (-87.66495569999999 41.9835535)
261194571,261194571,POINT (-87.5949198 41.7550242)
261194572,261194572,POINT (-87.5943565 41.7550292)
261194573,261194573,POINT (-87.5992109 41.7550023)
261194574,261194574,POINT (-87.5980033 41.7550083)
261194575,261194575,POINT (-87.5973894 41.7550114)
261102809,261102809,POINT (-87.6952027 41.7655038)
261102831,261102831,POINT (-87.6950042 41.7657089)
732437746,732437746,POINT (-87.7385154 41.8586738)
713301257,713301257,POINT (-87.62985980000001 41.8998592)
1648106860,1648106860,POINT (-87.6157958 41.8857086)
261102963,261102963,POINT (-87.6574708 41.8948625)
1641553396,1641553396,POINT (-87.6027923 41.809116)
369630790,369630790,POINT (-87.74508590000001 41.9607543)
261103182,261103182,POINT (-87.76806500000001 41.783922)
369630846,369630846,POINT (-87.74745040000001 41.9579809)
369630897,369630897,POINT (-87.7474192 41.9570754)
369630898,369630898,POINT (-87.7513539 41.9570228)
369630899,369630899,POINT (-87.747399 41.956485)
369630905,369630905,POINT (-87.7473877 41.9561582)
369630918,369630918,POINT (-87.7473567 41.9552565)
369630919,369630919,POINT (-87.7455781 41.9534401)
369630920,369630920,POINT (-87.7417557 41.9534885)
369630921,369630921,POINT (-87.7405267 41.9535041)
369630931,369630931,POINT (-87.7392967 41.9535196)
5891694324,5891694324,POINT (-87.6671534 41.8933471)
257171189,257171189,POINT (-87.6613538 41.9836107)
5891694325,5891694325,POINT (-87.6672744 41.8933456)
