,osmid,geometry
151325964,151325964,POINT (8.572142299999999 47.3578483)
151325965,151325965,POINT (8.572543 47.3579747)
151325970,151325970,POINT (8.5741543 47.3583312)
151325976,151325976,POINT (8.5753924 47.3582613)
151325978,151325978,POINT (8.576179099999999 47.3587747)
94113061,94113061,POINT (8.5278098 47.3863525)
1311771959,1311771959,POINT (8.549693899999999 47.3632009)
345050449,345050449,POINT (8.5495695 47.3827592)
504499607,504499607,POINT (8.538494 47.3852306)
504499611,504499611,POINT (8.538496500000001 47.3867122)
109907365,109907365,POINT (8.5389687 47.3922191)
105450917,105450917,POINT (8.5473698 47.3852813)
107154853,107154853,POINT (8.546334399999999 47.4094673)
94703015,94703015,POINT (8.5765292 47.4030648)
94703013,94703013,POINT (8.5768439 47.404906)
458362317,458362317,POINT (8.522748699999999 47.3489866)
458362325,458362325,POINT (8.520098300000001 47.3466463)
94899700,94899700,POINT (8.5408866 47.404342)
518589940,518589940,POINT (8.558203300000001 47.3701152)
151326202,151326202,POINT (8.571415399999999 47.3583297)
269487643,269487643,POINT (8.5653886 47.3609695)
269487645,269487645,POINT (8.5633029 47.3609674)
586288672,586288672,POINT (8.5151316 47.4151028)
300027431,300027431,POINT (8.538797600000001 47.3772594)
4716564025,4716564025,POINT (8.506773000000001 47.3589862)
343543364,343543364,POINT (8.566578099999999 47.3647759)
476974696,476974696,POINT (8.4866823 47.3845286)
476974699,476974699,POINT (8.4863778 47.3839848)
108269164,108269164,POINT (8.5587541 47.4066318)
108269167,108269167,POINT (8.5586308 47.4060083)
3662614140,3662614140,POINT (8.545332800000001 47.3673602)
301141679,301141679,POINT (8.5255923 47.3886778)
128585397,128585397,POINT (8.5372349 47.3969485)
301141722,301141722,POINT (8.5268728 47.3848742)
177016550,177016550,POINT (8.5254083 47.3513206)
177016555,177016555,POINT (8.5248682 47.3516828)
112332539,112332539,POINT (8.506510499999999 47.3987874)
108258097,108258097,POINT (8.543293500000001 47.4109412)
5047389976,5047389976,POINT (8.5391405 47.3884208)
5047389978,5047389978,POINT (8.5390766 47.3886304)
5047389982,5047389982,POINT (8.539078200000001 47.3894759)
5047389985,5047389985,POINT (8.5389619 47.3903887)
317919021,317919021,POINT (8.496694700000001 47.3834952)
5047390008,5047390008,POINT (8.5396313 47.3875778)
5047390009,5047390009,POINT (8.5395387 47.387839)
2171670332,2171670332,POINT (8.560735299999999 47.418147)
317919043,317919043,POINT (8.499082599999999 47.3823248)
36245329,36245329,POINT (8.5690189 47.3650346)
36245330,36245330,POINT (8.568849500000001 47.3650763)
561254254,561254254,POINT (8.5483721 47.3595558)
5082713974,5082713974,POINT (8.500960600000001 47.3829189)
36245379,36245379,POINT (8.567220600000001 47.3664578)
146673602,146673602,POINT (8.478395300000001 47.4065153)
105451517,105451517,POINT (8.5467633 47.3828211)
105451518,105451518,POINT (8.547326999999999 47.3820859)
105451520,105451520,POINT (8.5462756 47.3818869)
282988603,282988603,POINT (8.526454899999999 47.3938142)
282988604,282988604,POINT (8.526719099999999 47.394178)
84480081,84480081,POINT (8.5009058 47.3851627)
225972336,225972336,POINT (8.532004199999999 47.3844763)
92999852,92999852,POINT (8.5514434 47.4015364)
91492565,91492565,POINT (8.5226956 47.3518286)
5329653988,5329653988,POINT (8.556289700000001 47.3756979)
5329653999,5329653999,POINT (8.559301700000001 47.3753698)
282988786,282988786,POINT (8.5246168 47.3973947)
107155714,107155714,POINT (8.5464027 47.4092651)
1243222279,1243222279,POINT (8.542295599999999 47.3802882)
300028168,300028168,POINT (8.5413721 47.3782843)
317919577,317919577,POINT (8.4982361 47.3828089)
102371676,102371676,POINT (8.546028 47.3938421)
84480349,84480349,POINT (8.5001763 47.3843528)
316739956,316739956,POINT (8.5162578 47.3777741)
5050667386,5050667386,POINT (8.489524299999999 47.3666221)
1806438828,1806438828,POINT (8.530561799999999 47.3519478)
374477231,374477231,POINT (8.5312266 47.3440843)
297734588,297734588,POINT (8.5108877 47.3679438)
297734590,297734590,POINT (8.505660199999999 47.3667004)
157356494,157356494,POINT (8.487540299999999 47.385107)
157356497,157356497,POINT (8.489077399999999 47.3865379)
4041937360,4041937360,POINT (8.5188787 47.3860036)
4041937371,4041937371,POINT (8.5186042 47.3866264)
4041937372,4041937372,POINT (8.5176227 47.3856323)
4041937385,4041937385,POINT (8.518193200000001 47.3862093)
4041937386,4041937386,POINT (8.5179717 47.3861413)
256119306,256119306,POINT (8.5044422 47.4240274)
476647964,476647964,POINT (8.4907488 47.4233808)
5562299319,5562299319,POINT (8.530359000000001 47.39685)
261624376,261624376,POINT (8.518171000000001 47.3327923)
27005541,27005541,POINT (8.483245800000001 47.3761503)
1275794024,1275794024,POINT (8.5374768 47.3680682)
27005553,27005553,POINT (8.4812431 47.3767883)
1275794031,1275794031,POINT (8.5358444 47.3674277)
27005555,27005555,POINT (8.4797399 47.378002)
27005556,27005556,POINT (8.4820484 47.3773278)
27005559,27005559,POINT (8.4839403 47.376335)
27005597,27005597,POINT (8.483787299999999 47.3824016)
27005599,27005599,POINT (8.4833295 47.381882)
27005600,27005600,POINT (8.4825722 47.381503)
27005601,27005601,POINT (8.481973699999999 47.3811124)
27005602,27005602,POINT (8.481308800000001 47.380645)
27005606,27005606,POINT (8.481596 47.3823464)
27005609,27005609,POINT (8.4813937 47.38378)
27005610,27005610,POINT (8.4823354 47.3829125)
27005613,27005613,POINT (8.479843600000001 47.3830847)
5047325364,5047325364,POINT (8.544274700000001 47.3788553)
5047325365,5047325365,POINT (8.544278500000001 47.3786543)
5047325368,5047325368,POINT (8.5442745 47.3775304)
27005633,27005633,POINT (8.480823300000001 47.3845126)
