,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
161,4179285548,3224175886,"LINESTRING (-107.8074994006823 37.93628907467977, -107.8074620006822 37.93613267468062, -107.8071562006829 37.93605647467788, -107.8069522006834 37.93614137467495)",unclassified,,66.05199999999999,Bus Turnaround,False,
162,178108978,178060354,"LINESTRING (-107.8210915006561 37.94245797477934, -107.8214586006551 37.94230867478457)",residential,,36.22,Old Brewery Road,False,
163,178099759,178099761,"LINESTRING (-107.8137451006687 37.93791767473521, -107.8135642006697 37.93834937472977, -107.8135554006698 37.9383711747295, -107.8134121006706 37.93872607472507)",residential,,94.51599999999999,North Aspen Street,False,
164,178099759,178099267,"LINESTRING (-107.8137451006687 37.93791767473521, -107.8138342006685 37.93794087473601, -107.815492800665 37.93837217475074, -107.8155971006647 37.93839817475168)",primary,4,170.97799999999998,West Colorado Avenue,False,
165,178099759,178094055,"LINESTRING (-107.8137451006687 37.93791767473521, -107.8136689006689 37.93789667473455, -107.8128297006707 37.93768087472707, -107.8127714006708 37.9376650747266)",primary,4,89.894,West Colorado Avenue,False,
166,178099759,178105643,"LINESTRING (-107.8137451006687 37.93791767473521, -107.8139288006677 37.93747847474078, -107.8140747006669 37.93709867474541)",residential,,95.553,South Aspen Street,False,
167,178099761,178103724,"LINESTRING (-107.8134121006706 37.93872607472507, -107.8152298006667 37.93921757474106)",residential,2,168.513,West Columbia Avenue,False,15 mph
168,178099761,178099763,"LINESTRING (-107.8134121006706 37.93872607472507, -107.8132314006716 37.93916427471955, -107.8130925006724 37.93952597471515)",residential,,93.261,North Aspen Street,False,
169,178099761,178099759,"LINESTRING (-107.8134121006706 37.93872607472507, -107.8135554006698 37.9383711747295, -107.8135642006697 37.93834937472977, -107.8137451006687 37.93791767473521)",residential,,94.51599999999999,North Aspen Street,False,
170,178099761,178094057,"LINESTRING (-107.8134121006706 37.93872607472507, -107.8129039006717 37.93860307472049, -107.8124074006728 37.93847677471604)",residential,2,92.369,West Columbia Avenue,False,15 mph
171,178099763,178103730,"LINESTRING (-107.8130925006724 37.93952597471515, -107.8148615006686 37.94000457473073)",residential,,164.007,West Galena Avenue,False,
172,178099763,178095046,"LINESTRING (-107.8130925006724 37.93952597471515, -107.8130724006726 37.93964437471398, -107.8127787006741 37.94030247470547)",residential,,90.861,North Aspen Street,False,
173,178099763,178099761,"LINESTRING (-107.8130925006724 37.93952597471515, -107.8132314006716 37.93916427471955, -107.8134121006706 37.93872607472507)",residential,,93.261,North Aspen Street,False,
174,178099763,178094059,"LINESTRING (-107.8130925006724 37.93952597471515, -107.8125910006735 37.93940237471062, -107.8120908006746 37.93928937470604)",residential,,91.70599999999999,West Galena Avenue,False,
175,178095667,178104408,"LINESTRING (-107.8071359006854 37.93806207466157, -107.8066945006864 37.93797227465742)",residential,,39.977,East Galena Avenue,False,
176,178095667,178095669,"LINESTRING (-107.8071359006854 37.93806207466157, -107.8076493006842 37.93815297466645, -107.8081287006832 37.93828337467065)",residential,,90.616,East Galena Avenue,False,
177,178095667,178099680,"LINESTRING (-107.8071359006854 37.93806207466157, -107.8071848006851 37.93793267466312, -107.8073044006844 37.93760717466705)",residential,,52.697,"['North Alder Street', 'East Galena Avenue']",False,
178,178095669,178103094,"LINESTRING (-107.8081287006832 37.93828337467065, -107.807802200685 37.93909077466059)",residential,,94.234,North Willow Street,False,
179,178095669,178095700,"LINESTRING (-107.8081287006832 37.93828337467065, -107.8084597006814 37.93747837468076)",residential,,94.101,North Willow Street,False,
180,178095669,178095671,"LINESTRING (-107.8081287006832 37.93828337467065, -107.8086267006821 37.93840527467515, -107.8090975006811 37.93853687467925)",residential,,89.53200000000001,East Galena Avenue,False,
181,178095669,178095667,"LINESTRING (-107.8081287006832 37.93828337467065, -107.8076493006842 37.93815297466645, -107.8071359006854 37.93806207466157)",residential,,90.616,East Galena Avenue,False,
182,178095671,178101584,"LINESTRING (-107.8090975006811 37.93853687467925, -107.8088596006825 37.93916257467162)",residential,,72.635,North Spruce Street,False,
183,178095671,178095702,"LINESTRING (-107.8090975006811 37.93853687467925, -107.8094311006792 37.93773517468936)",residential,,93.823,North Spruce Street,False,
184,178095671,178095673,"LINESTRING (-107.8090975006811 37.93853687467925, -107.8096380006799 37.93867867468404, -107.8101169006789 37.93879397468838)",residential,,93.86500000000001,East Galena Avenue,False,
185,178095671,178095669,"LINESTRING (-107.8090975006811 37.93853687467925, -107.8086267006821 37.93840527467515, -107.8081287006832 37.93828337467065)",residential,,89.53200000000001,East Galena Avenue,False,
186,178095673,178099403,"LINESTRING (-107.8101169006789 37.93879397468838, -107.8098729006802 37.93934807468123)",residential,,65.223,North Pine Street,False,
187,178095673,178095704,"LINESTRING (-107.8101169006789 37.93879397468838, -107.8104302006771 37.9379737746984)",residential,,95.251,North Pine Street,False,
188,178095673,178095671,"LINESTRING (-107.8101169006789 37.93879397468838, -107.8096380006799 37.93867867468404, -107.8090975006811 37.93853687467925)",residential,,93.86500000000001,East Galena Avenue,False,
189,178095673,178103535,"LINESTRING (-107.8101169006789 37.93879397468838, -107.8106023006778 37.93891737469271, -107.8110986006767 37.93904347469714)",residential,,90.44999999999999,West Galena Avenue,False,
190,5560811073,178095046,"LINESTRING (-107.8126641006746 37.94044567470306, -107.8127787006741 37.94030247470547)",residential,,18.829,North Aspen Street,False,
191,178102852,178099782,"LINESTRING (-107.8186304006588 37.93965857477485, -107.81807970066 37.9394983747701)",residential,,51.474,Cornet Lane,False,
192,178102853,178099782,"LINESTRING (-107.8174943006612 37.93934677476486, -107.817586300661 37.93937057476569, -107.81807970066 37.9394983747701)",residential,,54.034,Cornet Lane,False,
193,178095682,178095684,"LINESTRING (-107.8018058006958 37.93578807462132, -107.8025240006942 37.93595147462792)",residential,,65.554,East Columbia Avenue,False,
194,178095684,178095690,"LINESTRING (-107.8025240006942 37.93595147462792, -107.8045208006899 37.93644587464583)",residential,,183.544,East Columbia Avenue,False,
195,178095684,178095682,"LINESTRING (-107.8025240006942 37.93595147462792, -107.8018058006958 37.93578807462132)",residential,,65.554,East Columbia Avenue,False,
196,178095684,178075127,"LINESTRING (-107.8025240006942 37.93595147462792, -107.8026770006934 37.93557147463264)",residential,,44.333,Columbine Drive,False,
197,178095684,178099667,"LINESTRING (-107.8025240006942 37.93595147462792, -107.8023515006952 37.93637757462258)",residential,,49.737,Columbine Drive,False,
198,178099782,178099784,"LINESTRING (-107.81807970066 37.9394983747701, -107.8179095006609 37.93988477476512)",residential,,45.484,Cornet Street,False,
199,178099782,178102852,"LINESTRING (-107.81807970066 37.9394983747701, -107.8186304006588 37.93965857477485)",residential,,51.474,Cornet Lane,False,
200,178099782,178095027,"LINESTRING (-107.81807970066 37.9394983747701, -107.8181956006593 37.93927247477315, -107.818253400659 37.9391597747747)",residential,,40.615,Cornet Street,False,
201,178099782,178102853,"LINESTRING (-107.81807970066 37.9394983747701, -107.817586300661 37.93937057476569, -107.8174943006612 37.93934677476486)",residential,,54.034,Cornet Lane,False,
202,178099784,178099782,"LINESTRING (-107.8179095006609 37.93988477476512, -107.81807970066 37.9394983747701)",residential,,45.484,Cornet Street,False,
203,178099784,178109688,"LINESTRING (-107.8179095006609 37.93988477476512, -107.8182198006601 37.93996807476785)",residential,2,28.745,West Columbia Avenue,False,15 mph
204,178099784,178104016,"LINESTRING (-107.8179095006609 37.93988477476512, -107.8174301006619 37.93976437476084, -107.8171285006625 37.93969697475804)",residential,2,71.611,West Columbia Avenue,False,15 mph
205,178095690,178095692,"LINESTRING (-107.8045208006899 37.93644587464583, -107.8054697006878 37.93670447465419)",residential,,88.045,East Columbia Avenue,False,
206,178095690,178095684,"LINESTRING (-107.8045208006899 37.93644587464583, -107.8025240006942 37.93595147462792)",residential,,183.544,East Columbia Avenue,False,
207,178095690,178095773,"LINESTRING (-107.8045208006899 37.93644587464583, -107.8046550006891 37.93606807465034)",residential,,43.627,North Pinion Street,False,
208,178095692,178095694,"LINESTRING (-107.8054697006878 37.93670447465419, -107.8064862006856 37.93696677466319)",residential,,93.795,East Columbia Avenue,False,
209,178095692,178095690,"LINESTRING (-107.8054697006878 37.93670447465419, -107.8045208006899 37.93644587464583)",residential,,88.045,East Columbia Avenue,False,
210,178095692,178105578,"LINESTRING (-107.8054697006878 37.93670447465419, -107.8056429006869 37.93634417465898, -107.8056997006867 37.9362442746604, -107.8058561006859 37.93585957466519)",residential,,99.942,Hemlock Street,False,
211,178095694,178095696,"LINESTRING (-107.8064862006856 37.93696677466319, -107.8074673006835 37.93722117467195)",residential,,90.571,East Columbia Avenue,False,
212,178095694,178095692,"LINESTRING (-107.8064862006856 37.93696677466319, -107.8054697006878 37.93670447465419)",residential,,93.795,East Columbia Avenue,False,
213,178095694,178099679,"LINESTRING (-107.8064862006856 37.93696677466319, -107.8063109006866 37.93734917465823)",residential,,45.215,North Maple Street,False,
214,178095694,178108960,"LINESTRING (-107.8064862006856 37.93696677466319, -107.8066369006848 37.93660837466775, -107.8068262006837 37.93610737467385)",residential,,100.117,North Maple Street,False,
215,178095696,178095694,"LINESTRING (-107.8074673006835 37.93722117467195, -107.8064862006856 37.93696677466319)",residential,,90.571,East Columbia Avenue,False,
216,178095696,178099680,"LINESTRING (-107.8074673006835 37.93722117467195, -107.8073044006844 37.93760717466705)",residential,,45.236,North Alder Street,False,
217,178095696,178095700,"LINESTRING (-107.8074673006835 37.93722117467195, -107.8079648006824 37.93735887467629, -107.8084597006814 37.93747837468076)",residential,,91.628,East Columbia Avenue,False,
218,178095696,178107523,"LINESTRING (-107.8074673006835 37.93722117467195, -107.8076278006827 37.93685917467661, -107.8078392006815 37.93638077468279)",residential,,98.977,North Alder Street,False,
219,178095700,178095669,"LINESTRING (-107.8084597006814 37.93747837468076, -107.8081287006832 37.93828337467065)",residential,,94.101,North Willow Street,False,
220,178095700,178095702,"LINESTRING (-107.8084597006814 37.93747837468076, -107.8089420006803 37.93760487468503, -107.8094311006792 37.93773517468936)",residential,,89.848,East Columbia Avenue,False,
221,178095700,178095696,"LINESTRING (-107.8084597006814 37.93747837468076, -107.8079648006824 37.93735887467629, -107.8074673006835 37.93722117467195)",residential,,91.628,East Columbia Avenue,False,
222,178095700,178103090,"LINESTRING (-107.8084597006814 37.93747837468076, -107.8086167006805 37.93710117468549, -107.8088071006795 37.93664337469129)",residential,,97.719,North Willow Street,False,
223,178095702,178095671,"LINESTRING (-107.8094311006792 37.93773517468936, -107.8090975006811 37.93853687467925)",residential,,93.823,North Spruce Street,False,
224,178095702,178095704,"LINESTRING (-107.8094311006792 37.93773517468936, -107.8099428006781 37.93786027469395, -107.8104302006771 37.9379737746984)",residential,,91.549,East Columbia Avenue,False,
225,178095702,178095700,"LINESTRING (-107.8094311006792 37.93773517468936, -107.8089420006803 37.93760487468503, -107.8084597006814 37.93747837468076)",residential,,89.848,East Columbia Avenue,False,
226,178095702,2107341255,"LINESTRING (-107.8094311006792 37.93773517468936, -107.8095961006784 37.93735817469419, -107.809667800678 37.93719067469635)",residential,,64.006,North Spruce Street,False,
227,178095704,178095673,"LINESTRING (-107.8104302006771 37.9379737746984, -107.8101169006789 37.93879397468838)",residential,,95.251,North Pine Street,False,
228,178095704,178095702,"LINESTRING (-107.8104302006771 37.9379737746984, -107.8099428006781 37.93786027469395, -107.8094311006792 37.93773517468936)",residential,,91.549,East Columbia Avenue,False,
229,178095704,178099400,"LINESTRING (-107.8104302006771 37.9379737746984, -107.8105834006762 37.93760467470305, -107.8107704006752 37.93714467470878)",residential,,96.899,North Pine Street,False,
230,178095704,178103533,"LINESTRING (-107.8104302006771 37.9379737746984, -107.810930600676 37.93810017470288, -107.8114315006749 37.93822727470736)",residential,2,92.224,West Columbia Avenue,False,15 mph
